Demand,Total parts,Parts per hour,VA Time,Drilling Waiting Time,Milling Waiting Time,Assembly Waiting Time,Drilling Util,Milling Util,Assembly Util,,,,,,,,,,,,
20,8784,366,8.998347,135.209072,0.000145,234.2636,0.996439,0.747201,0.996021,,,,,,,,,,,,
13,1852,77,8.989174,0.014693,0,0.135777,0.256518,0.192551,0.381318,,,,,,,,,,,,
6,2964,124,8.994708,0.250653,0,1.174495,0.411463,0.308029,0.610763,,,,,,,,,,,,
19,1479,62,8.973684,0.000096,0,0.0249,0.205375,0.152588,0.303682,,,,,,,,,,,,
5,1964,82,9.000607,0.034177,0,0.148312,0.271523,0.202428,0.405519,,,,,,,,,,,,
17,8024,334,8.991402,69.386089,0.000028,240.1023,0.998761,0.747149,0.995724,,,,,,,,,,,,
12,6024,251,8.983074,5.013412,0.000136,121.162931,0.822376,0.611155,0.996119,,,,,,,,,,,,
11,5764,240,8.995505,3.584304,0.000058,107.319057,0.796727,0.595289,0.990834,,,,,,,,,,,,
6,2988,125,8.994019,0.202539,0,0.829573,0.414864,0.310598,0.61826,,,,,,,,,,,,
19,8854,369,9.002796,124.814167,0.00008,222.287207,0.988774,0.740979,0.996014,,,,,,,,,,,,
4,1748,73,9.007216,0.035728,0,0.165489,0.24197,0.181512,0.363634,,,,,,,,,,,,
9,2200,92,9.015748,0.039174,0,0.254229,0.306079,0.229446,0.457387,,,,,,,,,,,,
18,2360,98,9.001245,0.066944,0.000024,0.307568,0.32604,0.244072,0.491244,,,,,,,,,,,,
1,488,20,9.01024,0,0,0,0.067697,0.050162,0.102371,,,,,,,,,,,,
5,2420,101,9.010789,0.067761,0,0.395405,0.336177,0.25224,0.503283,,,,,,,,,,,,
9,4230,176,9.007808,0.830492,0.000151,5.464334,0.583994,0.438082,0.875352,,,,,,,,,,,,
17,1904,79,9.007543,0.033246,0.000005,0.15929,0.264554,0.198737,0.394557,,,,,,,,,,,,
15,4208,175,9.00101,0.823466,0.000026,4.331116,0.582543,0.434397,0.859208,,,,,,,,,,,,
7,3192,133,8.99022,0.316086,0,1.312263,0.443963,0.332002,0.661164,,,,,,,,,,,,
5,469,20,9.003745,0,0,0,0.064855,0.048467,0.097998,,,,,,,,,,,,
17,4401,183,9.021565,1.518229,0.000002,14.682295,0.610489,0.458818,0.916669,,,,,,,,,,,,
1,5808,242,9.000844,4.388801,0.000007,107.544531,0.803169,0.601528,0.995867,,,,,,,,,,,,
9,6216,259,8.987772,6.039365,0.000082,168.752327,0.854397,0.639195,0.995974,,,,,,,,,,,,
11,5005,209,9.014925,2.457765,0.000209,52.820751,0.696503,0.521212,0.980298,,,,,,,,,,,,
6,5964,249,9.010589,3.162139,0.000087,132.478436,0.816016,0.609193,0.993678,,,,,,,,,,,,
13,4221,176,8.989494,1.070003,0.00002,6.12203,0.584471,0.437339,0.869671,,,,,,,,,,,,
9,4572,191,8.991811,1.074882,0.000013,17.746677,0.629574,0.472201,0.937393,,,,,,,,,,,,
8,8534,356,9.006797,144.374922,0.000174,238.352257,0.992938,0.743063,0.990039,,,,,,,,,,,,
3,7365,307,8.984255,37.656915,0.000117,226.871112,0.988122,0.740112,0.99231,,,,,,,,,,,,
2,8048,335,8.986475,94.604037,0.00002,225.058584,0.984747,0.736491,0.991467,,,,,,,,,,,,
16,990,41,9.014674,0,0,0.000651,0.137539,0.103925,0.204019,,,,,,,,,,,,
17,982,41,8.981174,0,0,0.001483,0.135959,0.101656,0.205174,,,,,,,,,,,,
12,5616,234,8.981977,3.067261,0.000285,96.680069,0.778048,0.581944,0.996075,,,,,,,,,,,,
2,1010,42,9.016751,0,0,0.000078,0.140099,0.10523,0.208485,,,,,,,,,,,,
9,8712,363,9.011257,110.131946,0.00004,238.832628,0.999999,0.75019,0.996109,,,,,,,,,,,,
1,471,20,8.947938,0,0,0,0.065018,0.047723,0.09623,,,,,,,,,,,,
7,3493,146,8.996818,0.435751,0,2.138699,0.482435,0.364142,0.726396,,,,,,,,,,,,
9,4275,178,8.982374,0.944609,0.000119,4.943338,0.592085,0.444743,0.881912,,,,,,,,,,,,
18,8298,346,9.018319,83.624351,0.000083,224.449082,0.981054,0.732974,0.985968,,,,,,,,,,,,
20,9200,383,9.007854,167.875277,0.000006,234.856511,0.989287,0.743209,0.988425,,,,,,,,,,,,
16,8143,339,9.003315,75.991533,0.00008,235.16025,0.999359,0.747294,0.99604,,,,,,,,,,,,
16,9709,405,8.987153,194.790877,0.00004,236.58242,0.994093,0.745008,0.991909,,,,,,,,,,,,
4,1952,81,9.027795,0.026772,0,0.130909,0.27223,0.20315,0.405156,,,,,,,,,,,,
16,3465,144,8.989156,0.496075,0,1.797552,0.480411,0.359084,0.71684,,,,,,,,,,,,
